# Kartenliste für „Neandertaler“
#
# Eine Karte pro Zeile: 1-Punkt-Wort | 3-Punkt-Begriff
# "## Kategorie" beginnt eine neue Kategorie.
# Zeilen mit # sind Kommentare.
#
# Nach dem Bearbeiten:  python3 tools/build-cards.py
# Das Skript prüft auf Dubletten und schreibt data/cards.de.json.
# Die IDs werden aus dem Text gebildet: eine Karte behält ihre ID, solange
# ihr Wortlaut gleich bleibt – so merkt sich die App, was schon gespielt wurde.

## Essen & Trinken
Fisch | Fischstäbchen
Turngerät | Klettergerüst
Wegweiser | Wanderweg
Sporen | Reitstiefel
Parkett | Tanzfläche
Rodeln | Rodelbahn
Eislaufen | Schlittschuh
Handball | Handballtor
Hockey | Eishockey
Rudern | Ruderregatta
Kanu | Kanufahrt
Fechten | Fechtmaske
Judo | Judogürtel
Karate | Karatekick
Turnen | Turnhalle
Kegeln | Alle Neune
Bowling | Bowlingkugel
Darts | Dartscheibe
Billard | Billardkugel
Skat | Skatrunde
Grillen | Grillwürstchen
Picknick | Picknickdecke
Camping | Wohnmobil
Joggen | Joggingschuh
Fitness | Fitnessstudio
Olympia | Olympische Spiele
Weltmeister | Weltmeisterschaft
Trainer | Trainerbank
Fan | Fankurve
Stadion | Stadionwurst
Schiri | Rote Karte
Elfmeter | Elfmeterschießen

## Verkehr & Reisen
Waschstraße | Autowaschanlage
Haltestelle | Bushaltestelle
Zug | Zugabteil
Kentern | Schiffbruch
Mieten | Bootsverleih
Flugzeug | Flughafen
Schub | Raketenantrieb
Kettenöl | Fahrradkette
Straßenatlas | Straßenkarte
Kurzurlaub | Brückentag
Rotphase | Ampelkreuzung
Röhre | Autotunnel
Winterreifen | Reifenwechsel
Packen | Kofferpacken
Frühstücksraum | Hotelfrühstück
Pauschalreise | Urlaubsreise
Hafenviertel | Hafenkneipe
Fahrgast | Taxifahrer
Haube | Motorhaube
Gleiter | Segelflugzeug
Windrose | Kompassrose
Schienenersatzverkehr | Gleisbauarbeiten
Rushhour | Stop-and-go
U-Bahn | U-Bahn-Station
Tram | Straßenbahnhaltestelle
Roller | Tretroller
Skateboard | Skaterpark
Laster | Lastwagen
Traktor | Traktorrennen
Schaufelbagger | Baggerfahrer
Wohnwagen | Campingplatz
Flug | Flugbegleiter
Gepäck | Handgepäck
Zoll | Zollkontrolle
Grenze | Grenzübergang
Kreuzung | Kreisverkehr
Umleitung | Baustellenumleitung
Parkplatz | Parkhaus
Blitzer | Radarfalle
Führerschein | Fahrschule
Navi | Navigationsgerät
Anhänger | Fahrradanhänger
Fähre | Autofähre
Kutsche | Pferdekutsche
Gondel | Seilbahn
Postkarte | Urlaubsgruß
Sonnencreme | Lichtschutzfaktor
Souvenir | Andenken
Ausflug | Tagesausflug
Reise | Weltreise

## Orte & Gebäude
Stadtführung | Stadtplan
Dorflinde | Dorfplatz
Schulweg | Schulbus
Choral | Kirchenchor
Edelfräulein | Burgfräulein
Wache | Wachturm
Marktstand | Wochenmarkt
Überfall | Bankräuber
Schranke | Parkhausticket
Tierpfleger | Zoowärter
Führung | Museumsführer
Manege | Zirkusdirektor
Skihütte | Hüttenzauber
Mahlen | Mühlstein
Eimerkette | Brunnenwasser
Sandspielplatz | Spielplatzrutsche
Krankenhaus | Notaufnahme
Apotheke | Apothekenrundschau
Bibliothek | Bibliotheksausweis
Kindergarten | Kindergärtnerin
Jawort | Standesamt
Post | Postamt
Hochhaus | Plattenbau
Leuchtturm | Leuchtturmwärter
Kloster | Klosterbruder
Kettenrasseln | Schlossgespenst
Festung | Festungsmauer
Gefängnis | Gefängniswärter
Arena | Fußballstadion
Schwimmbad | Freibad
Bäckerei | Backstube
Friseursalon | Föhnfrisur
Kaufhaus | Rolltreppe
Tankstelle | Zapfsäule
Werkstatt | Autowerkstatt
Fabrik | Fließband
Bauernhof | Hofladen
Scheune | Heuboden
Garage | Garagentor
Container | Containerhafen
Flughafen | Landebahn
Popcornduft | Kinosaal
Bühnenbild | Theaterbühne
Oper | Opernhaus
Tresen | Eckkneipe
Restaurant | Speisekarte
Café | Kaffeehaus
Empfang | Hotelrezeption
Friedhof | Grabstein
Pyramide | Cheops-Pyramide

## Technik & Dinge
Flatrate | Handyvertrag
Computer | Computerspiel
Radio | Radiosender
Alexanderplatz | Fernsehturm
Überwachung | Überwachungskamera
Kopierer | Fotokopie
Mehrfachstecker | Verlängerungskabel
Zählerstand | Stromzähler
Lichterglanz | Lichterkette
Roboter | Roboterarm
Nähfuß | Nähmaschine
Batteriezelle | Knopfzelle
Porto | Briefmarke
Buch | Buchhandlung
Falschmeldung | Zeitungsente
Filzer | Filzstift
Schnipsel | Papierschnipsel
Sparen | Taschengeld
Abheben | Geldautomat
Schlüsselanhänger | Schlüsselring
Schattenplatz | Sonnenschirm
Platzen | Luftballon
Klöppel | Glockenspiel
Ständer | Mikrofonständer
Transrapid | Magnetbahn
Vergrößern | Detektivlupe
Abwiegen | Küchenwaage
Leuchtpunkt | Laserpointer
Luftbild | Drohnenkamera
Internet | Internetseite
Tastatur | Tastenkombination
Bildschirm | Bildschirmschoner
Drucker | Druckerpatrone
Unterlage | Mauspad
Akku | Akkuschrauber
Solar | Solaranlage
Windrad | Windkraft
Satellit | Satellitenschüssel
Kopfhörer | Kopfhörerkabel
Lautsprecher | Lautsprecherbox
Außenspiegel | Rückspiegel
Fernglas | Fernrohr
Thermometer | Fieberkurve
Zange | Beißzange
Schraube | Schraubenzieher
Feuerzeug | Streichholz
Taschenlampe | Stirnlampe
Schattenwurf | Sonnenuhr
Sanduhr | Eieruhr
Morgengruß | Weckruf

## Kleidung
Sonnenhut | Strohhut
Bommel | Pudelmütze
Anziehhilfe | Schuhlöffel
Ausziehen | Stiefelknecht
Strumpf | Kniestrumpf
Träger | Latzhose
Kragenknopf | Hemdkragen
Luftig | Sommerkleid
Plissee | Faltenrock
Wasserdicht | Regenjacke
Daunen | Wintermantel
Tuch | Halstuch
Gürtel | Gürtelschnalle
Druckverschluss | Druckknopf
Reißverschluss | Reißverschluss klemmt
Kapuze | Kapuzenpulli
Hemdtasche | Brusttasche
Vermummt | Skimaske
Kostümchen | Hosenanzug
Rollkragen | Rollkragenpullover
Weste | Warnweste
Unterhose | Boxershorts
Unterhemd | Feinripp
BH | Bügel-BH
Strumpfhose | Laufmasche
Leggings | Radlerhose
Jeans | Jeansjacke
Shorts | Badehose
Sandale | Sandalen mit Socken
Pantoffel | Pantoffelheld
Turnschuh | Sneaker
Absatz | Stöckelschuh
Krawatte | Krawattenknoten
Brummer | Stubenfliege
Smoking | Frack
Uniform | Schuluniform
Kostüm | Faschingskostüm
Schleier | Brautschleier
Handtasche | Clutch
Rucksack | Schulranzen
Ohrring | Ohrstecker
Armband | Freundschaftsarmband
Schmuck | Perlenkette
Brosche | Anstecknadel
Mode | Modenschau
Stoff | Stoffbahn
Wolle | Wollsocken
Seide | Seidentuch
Leder | Lederhose
Karo | Karohemd

## Feste & Kultur
Auspusten | Geburtstagskerze
Glühwein | Weihnachtsmarkt
Eiersuche | Osternest
Kamelle | Karnevalsumzug
Brautpaar | Hochzeitskutsche
Böller | Silvesterrakete
Schleifenband | Geschenkband
Begleiter | Knecht Ruprecht
Heiligenschein | Engelsflügel
Advent | Adventskalender
Halloween | Kürbislaterne
Fasching | Konfetti
Muttertag | Frühstück ans Bett
Taufe | Taufpate
Konfirmation | Kommunion
Jubiläum | Silberhochzeit
Abschied | Abschiedsparty
Einweihung | Housewarming
Sankt Martin | Laternenumzug
Schützenfest | Schützenkönig
Kirmes | Autoscooter
Jahrmarkt | Zuckerwattestand
Konzert | Konzertkarte
Festival | Open Air
Disco | Discokugel
Kulturnacht | Museumsnacht
Ausstellung | Kunstausstellung
Gemälde | Ölgemälde
Statue | Bronzestatue
Gedicht | Gedichtband
Roman | Liebesroman
Krimi | Tatort
Comic | Sprechblase
Zeichentrick | Trickfilm
Serie | Fernsehserie
Quiz | Quizshow
Show | Talkshow
Pappnase | Zirkusclown
Fäden | Marionette
Kasper | Kasperlepuppe

## Schule & Arbeit
Alphabet | Buchstabe
Kästchen | Rechenheft
Tafelwischen | Tafelschwamm
Urzeit | Kreidezeit
Schulhofpause | Pausenhof
Klassenarbeit | Mathetest
Note | Notendurchschnitt
Unterrichtsraum | Klassenzimmer
Einmaleins | Kopfrechnen
Gutenachtgeschichte | Vorlesen
Handschrift | Schönschrift
Heftklammer | Büroklammer
Sitzordnung | Sitzplan
Stempeln | Stempelkissen
Kombination | Zahlenschloss
Kalauer | Wortspiel
Umfrage | Fragebogen
Tüpfelchen | Pünktchen
Radiergummi | Radierkrümel
Spitzer | Bleistiftspitzer
Füller | Füllfederhalter
Lineal | Geodreieck
Atlas | Weltatlas
Globus | Globetrotter
Referat | Präsentation
Hausaufgabe | Hausaufgaben vergessen
Diktat | Rechtschreibfehler
Zeugnis | Zeugnisausgabe
Abitur | Abiball
Uni | Universität
Vorlesung | Hörsaal
Prüfung | Prüfungsangst
Spickzettel | Abschreiben
Schwänzen | Blaumachen
Klassenbuch | Eintrag ins Klassenbuch
Direktor | Schulleiter
Kittel | Hausmeisterkittel
Kantine | Mittagspause
Meeting | Besprechung
Bürostuhl | Chefsessel
Kollege | Kollegin
Resturlaub | Urlaubsantrag
Feierabend | Feierabendbier
Überstunde | Überstundenkonto
Bluescreen | Computerabsturz
E-Mail | Posteingang
Telefon | Telefonkonferenz
Teeküche | Kaffeeküche
Akte | Aktenordner
Druckerfehler | Papierstau

## Redewendungen
Teufelskreislauf | Da beißt sich die Katze in den Schwanz
Heruntergekommen | Auf den Hund gekommen
Erröten | Rot wie eine Tomate
Nachgeben | Sich die Butter vom Brot nehmen lassen
Friede | Friede, Freude, Eierkuchen
Gepellt | Wie aus dem Ei gepellt
Sauer | In den sauren Apfel beißen
Weich | Eine weiche Birne haben
Hart | Eine harte Nuss
Wunde | Salz in die Wunde streuen
Auslöffeln | Die Suppe auslöffeln
Lohn | Seine Brötchen verdienen
Aufmuntern | Kopf hoch
Geradeaus | Immer der Nase nach
Schwerhörig | Auf beiden Ohren taub
Vertraulich | Unter vier Augen
Schlagfertig | Nicht auf den Mund gefallen
Durchdacht | Hand und Fuß haben
Luxus | Auf großem Fuß leben
Warten | Sich die Beine in den Bauch stehen
Offenherzig | Das Herz auf der Zunge tragen
Lästern | Kein gutes Haar lassen
Durchhalten | Zähne zusammenbeißen
Mitmischen | Die Finger im Spiel haben
Schätzen | Über den Daumen gepeilt
Bellen | Hunde, die bellen, beißen nicht
Niemals | Keine zehn Pferde
Problem | Die Kuh vom Eis holen
Sturkopf | Störrisch wie ein Esel
Einöde | Wo sich Fuchs und Hase gute Nacht sagen
Flunkern | Einen Bären aufbinden
Verkleidung | Wolf im Schafspelz
Verrückt | Einen Vogel haben
Element | Wie ein Fisch im Wasser
Unwichtig | Danach kräht kein Hahn
Brei | Wie die Katze um den heißen Brei
Altbekannt | Nichts Neues unter der Sonne
Wetter | Gut Wetter machen
Traufe | Vom Regen in die Traufe
Ignorieren | In den Wind schlagen
Kalt | Ins kalte Wasser springen
Riskant | Mit dem Feuer spielen
Eisen | Das Eisen schmieden, solange es heiß ist
Aufhören | An den Nagel hängen
Anstoßen | Den Stein ins Rollen bringen
Herumerzählen | An die große Glocke hängen
Überarbeitet | Die Kerze an beiden Enden anzünden
Groschen | Der Groschen ist gefallen
Verschwinde | Hingehen, wo der Pfeffer wächst
Tube | Senftube

# ------------------------------------------------------------------
# Erweiterung: neue Kategorien
# ------------------------------------------------------------------

## Märchen & Fantasy
Schenkel | Froschschenkel
Geißlein | Der Wolf und die sieben Geißlein
Walpurgisnacht | Hexenbesenflug
Wichtel | Zwergenmütze
Siebenmeilenstiefel | Riesenschritt
Fee | Gute Fee
Prinzessin | Prinzessinnenkrone
Feuerspucken | Feuerdrache
Glitzer | Einhornhorn
Abrakadabra | Zauberspruch
Kobold | Pumuckl
Troll | Trollbrücke
Elfe | Elfenkönigin
Nixe | Kleine Meerjungfrau
Gruselfahrt | Geisterbahn
Gespenst | Hui Buh
Neuschwanstein | Märchenschloss
Haarzopf | Rapunzels Turm
Spindel | Dornröschenschlaf
Stiefelkater | Gestiefelter Kater
Bremen | Bremer Stadtmusikanten
Gold | Goldmarie
Pech | Pechmarie
Stroh | Rumpelstilzchen
Wunsch | Drei Wünsche
Dschinn | Aladin und die Wunderlampe
Scheherazade | Tausendundeine Nacht
Entkorken | Flaschengeist
Stab | Zauberlehrling
Sprechend | Sprechender Hut
Schnatz | Quidditch
Narbe | Harry Potter
Frodo | Herr der Ringe
Hobbit | Auenland
Mittelerde | Gandalf
Artus | Excalibur
Rundtisch | Tafelrunde
Camelot | König Artus
Kessel | Zaubertrank
Trank | Liebestrank
Kristall | Kristallkugel
Königin | Zauberspiegel
Gift | Vergifteter Apfel
Verwunschen | Zauberwald
Pfad | Brotkrumenspur
Lebkuchen | Knusperhäuschen
Kater | Kater Mikesch
Dummling | Goldene Gans
Goldesel | Tischlein deck dich
Sterne | Sterntaler
Maikäfer | Peterchens Mondfahrt
Lügennase | Pinocchio
Mitternacht | Glockenschlag um Mitternacht
Kutscher | Kürbiskutsche
Schneekönigin | Eiskönigin
Blutsauger | Vampirzähne
Werwolf | Vollmondnacht
Monster | Monster unterm Bett
Mumie | Mumienbinde
Zyklop | Einäugiger Riese

## Musik & Instrumente
Gitarre | E-Gitarre
Klavier | Klaviertasten
Geige | Geigenbogen
Gehör | Trommelfell
Flötist | Querflöte
Trompete | Trompetensolo
Posaune | Posaunenchor
Tuba | Blaskapelle
Harfe | Harfenspieler
Orgel | Kirchenorgel
Akkordeon | Quetschkommode
Saxofon | Jazzband
Schlagzeug | Schlagzeugsolo
Bass | Kontrabass
Cello | Cellokasten
Triangel | Triangelspieler
Rassel | Babyrassel
Mundharmonika | Blues
Dudelsack | Schottenrock
Xylophon | Glockenspielplatten
Singen | Liederbuch
Chor | Männerchor
Band | Boyband
Stehen | Stehplatz
Loge | Opernglas
Violinschlüssel | Notenschlüssel
Takt | Taktstock
Dirigent | Dirigentenstab
Melodie | Ohrwurmmelodie
Rhythmus | Rhythmusgefühl
Solo | Gitarrensolo
Hit | Hitparade
Dudelfunk | Radiohit
Platte | Schallplatte
Kassette | Mixtape
Karaoke | Karaokeabend
Dreivierteltakt | Walzer
Elvis | Rock and Roll
Pop | Popstar
Rap | Rapper
Jazz | Jazzkeller
Schlager | Schlagerparty
Volkslied | Volksmusik
Hymne | Nationalhymne
Stimme | Stimmbruch
Pfeifen | Pfeifkonzert
Summen | Summton
Klatschen | Applaus
Bühne | Bühnenshow
Star | Superstar

## Pflanzen & Garten
Rosenbusch | Rosenstrauch
Tulpe | Tulpenzwiebel
Sonnenblume | Sonnenblumenfeld
Gänseblümchen | Gänseblümchenkette
Löwenzahn | Pusteblume
Pieks | Kaktusstachel
Efeu | Efeuranke
Farn | Farnwedel
Palme | Palmenstrand
Birke | Birkenrinde
Buche | Buchecker
Linde | Lindenblütentee
Kastanie | Kastanienmännchen
Apfelbaum | Apfelernte
Kirschbaum | Kirschblüte
Hecke | Heckenschere
Rasen | Rasenmäher
Beet | Blumenbeet
Gießkanne | Blumen gießen
Spaten | Umgraben
Harke | Laubrechen
Schubkarre | Gartenarbeit
Kompost | Komposthaufen
Dünger | Blumendünger
Aussäen | Saatgut
Knospe | Blütenknospe
Blüte | Blütenstaub
Dorn | Dornenhecke
Stachel | Stachelbeere
Brennnessel | Brennnesseltee
Unkraut | Unkraut jäten
Klee | Vierblättriges Kleeblatt
Lavendel | Lavendelfeld
Nachtschatten | Tomatenpflanze
Kräuter | Kräutergarten
Petersilie | Petersilienwurzel
Schnittlauch | Schnittlauchbrot
Basilikum | Pesto
Minze | Pfefferminze
Gewächshaus | Treibhauseffekt
Schrebergarten | Laube
Gartenzwerg | Zipfelmützenzwerg
Vogelhaus | Meisenknödel
Teich | Gartenteich
Nacktschnecke | Schneckenkorn
Krtek | Der kleine Maulwurf
Latten | Jägerzaun
Liege | Sonnenliege
Kohle | Grillkohle
Blumen | Blumenladen

## Weltraum & Wissenschaft
Krater | Mondkrater
Finsternis | Sonnenfinsternis
Observatorium | Sternwarte
Kuppel | Planetarium
Rover | Marsrover
Umlaufbahn | Erdumlaufbahn
Saturn | Saturnringe
Herunterzählen | Countdown
Weltraumspaziergang | Raumanzug
Apollo | Mondrakete
Ufo | Fliegende Untertasse
Alien | Außerirdischer
Galaxie | Milchstraße
Loch | Schwarzes Loch
Knall | Urknall
Schweifstern | Halleyscher Komet
Meteor | Meteoritenschauer
Teleskop | Weltraumteleskop
Station | ISS
Schwerkraft | Schwerelosigkeit
Blitzartig | Lichtgeschwindigkeit
Jahr | Lichtjahr
Atom | Atomkraftwerk
Zelle | Zellkern
Pol | Nordpol und Südpol
Schaltkreis | Stromkreis
Labor | Laborkittel
Experiment | Versuchsaufbau
Formel | Mathematikformel
Rechner | Supercomputer
Mikroskop | Bakterien
Virus | Computervirus
Gen | Genetik
Skelett | Dinosaurierskelett
Fossil | Versteinerung
Magma | Lava
Quarz | Bergkristall
Goldrausch | Goldgräber
Energie | Energiesparlampe
Getriebe | Zahnrad
Hebel | Hebelwirkung
Wärme | Wärmebildkamera
Kelvin | Absoluter Nullpunkt
Zeit | Zeitreise
Präzision | Atomuhr
Frequenz | Radiowelle
Ton | Schallgeschwindigkeit
Prisma | Farbspektrum
Chatbot | Künstliche Intelligenz
Erfindung | Patentamt

## Werkzeug & Handwerk
Hammermethode | Holzhammer
Fakir | Nagelbrett
Säge | Kettensäge
Bohrer | Bohrmaschine
Gewinde | Schraubenmutter
Kneifen | Kneifzange
Feile | Nagelfeile
Hobel | Hobelbank
Meißel | Steinmetz
Axt | Holzhacken
Beil | Kriegsbeil begraben
Leim | Holzleim
Stiel | Pinselstiel
Streichen | Farbroller
Kleister | Tapetenkleister
Dübel | Dübelloch
Werkzeug | Werkzeugkasten
Werkzeugkoffer | Werkzeugkiste
Werkbank | Schraubstock
Maßband | Zollstock
Wasserwaage | Lot
Kelle | Maurerkelle
Ziegel | Ziegelstein
Mörtel | Zement
Beton | Betonmischer
Gerüst | Baugerüst
Sicherheit | Schutzhelm
Schutzhandschuh | Arbeitshandschuh
Schweißen | Schweißgerät
Löten | Lötkolben
Schleifen | Schleifpapier
Nähen | Nähkästchen
Stricken | Stricknadel
Häkeln | Häkeldecke
Töpfern | Töpferscheibe
Schnitzen | Schnitzmesser
Kleben | Klebeband
Trommelkabel | Kabeltrommel
Maulschlüssel | Schraubenschlüssel
Kreissäge | Sägespäne
Sprossen | Stehleiter
Wandfarbe | Farbeimer
Rolle | Flaschenzug
Kranhaken | Kranführer
Buddelschaufel | Minibagger
Anleitung | Bauanleitung
Heimwerker | Baumarkt
Schreiner | Schreinerei
Hufeisen | Amboss
Rohr | Wasserrohr

## Filme & Figuren
Disney | Micky Maus
Erpel | Donald Duck
Beagle | Snoopy
Lasagnekater | Garfield
Willi | Biene Maja
Honigtopf | Pu der Bär
Marmeladenbrot | Paddington
Sesamstraße | Kermit
Muppets | Miss Piggy
Karottenfresser | Bugs Bunny
Eder | Pumuckls Hut
Lok | Jim Knopf
Schwamm | Spongebob
Gelb | Die Simpsons
Fred | Familie Feuerstein
Taler | Onkel Dagoberts Geldspeicher
Simba | König der Löwen
Clownfisch | Findet Nemo
Spielzeug | Toy Story
Schneemann | Olaf
Elsa | Die Eiskönigin
Spielberg | Der weiße Hai
Urzeitpark | Jurassic Park
Riesenaffe | King Kong
Netzschwinger | Spider-Man
Gotham | Batman
Mann | Superman
Jedi | Star Wars
Krippe | Stern von Bethlehem
Imperium | Darth Vader
Wookie | Chewbacca
Dorothy | Der Zauberer von Oz
Freibeuter | Fluch der Karibik
Peitsche | Indiana Jones
Agent | James Bond
Titanic | Eisberg
Zauberschule | Hogwarts-Express
Willy Wonka | Charlie und die Schokoladenfabrik
Socken | Pippi Langstrumpf
Villa Kunterbunt | Kleiner Onkel von Pippi
Propeller | Karlsson vom Dach
Justus | Die drei Fragezeichen
Freunde | Fünf Freunde
Junghexe | Bibi Blocksberg
Martinshof | Bibi und Tina
Törööö | Benjamin Blümchen
Sachgeschichte | Die Sendung mit der Maus
Sandmann | Unser Sandmännchen
Gallier | Asterix und Obelix
Schlumpf | Schlümpfe

## Spiele & Spielzeug
Kniffel | Würfelbecher
Einstürzen | Kartenhaus
Brett | Brettspiel
Figur | Spielfigur
Ärgern | Mensch ärgere dich nicht
Zwickmühle | Mühlespiel
Dame | Damespiel
Domino | Dominoeffekt
Memory | Gedächtnisspiel
Quartett | Autoquartett
Geduld | Tausend-Teile-Puzzle
Klemmbaustein | Legostadt
Bauklotz | Bauklötze staunen
Ken | Barbiepuppe
Teddy | Kuscheltier
Aufblasen | Wasserball
Drehen | Kreiselspiel
Jojo | Jo-Jo-Effekt
Schnüre | Lenkdrachen
Seifenblase | Seifenblasenpistole
Klicker | Glasmurmel
Knete | Knetgummi
Hüpfspiel | Hüpfkästchen
Hüpfen | Gummitwist
Gendarm | Räuber und Gendarm
Augenbinde | Blinde Kuh
Stille | Stille Post
Buchstabenspiel | Stadt, Land, Fluss
Galgen | Galgenmännchen
Tabu | Tabuwörter
Pantomime | Scharade
Montagsmaler | Zeichenspiel
Monopoly | Schlossallee
Siedler | Die Siedler von Catan
Konsole | Joystick
Controller | Gamepad
Level | Endgegner
Tetris | Tetrisblöcke
Pac-Man | Geisterjagd
Mario | Super Mario
Rennbahn | Carrerabahn
Eisenbahn | Modelleisenbahn
Matchbox | Spielzeugauto
Blechmann | Spielzeugroboter
Pistole | Wasserpistole
Sandkasten | Sandförmchen
Schaukelpferd | Steckenpferd
Trampolin | Trampolinspringen
Hinunterrutschen | Rutschbahn
Wippe | Wippschaukel

## Länder & Städte
Deutschland | Bundesadler
Frankreich | Baguette
Pasta | Spaghetti
Spanien | Flamenco
England | Big Ben
Schottland | Loch Ness
Irland | Kleeblatt-Insel
Holland | Holzschuh
Schweiz | Schweizer Käse
Österreich | Wiener Walzer
Griechenland | Akropolis
Türkei | Bosporus
Russland | Matrjoschka
Schweden | Elch
Norwegen | Fjord
Dänemark | Legoland
Finnland | Sauna
Polen | Pierogi
China | Chinesische Mauer
Japan | Kirschblütenfest
Indien | Taj Mahal
Australien | Känguru-Land
Afrika | Safari
Kenia | Savanne
Brasilien | Samba
Mexiko | Sombrero
Kanada | Ahornsirup
USA | Sternenbanner
New York | Central Park
Hollywood | Walk of Fame
Hamburg | Reeperbahn
München | Oktoberfestzelt
Köln | Kölner Dom
Venedig | Gondoliere
London | Tower Bridge
Moskau | Roter Platz
Peking | Verbotene Stadt
Tokio | Sushi-Bar
Sydney | Harbour Bridge
Rio | Karneval in Rio
Kairo | Sphinx
Athen | Olympia der Antike
Wien | Stephansdom
Prag | Karlsbrücke
Amsterdam | Grachten
Hawaii | Hula-Tanz
Alaska | Eskimo-Iglu
Antarktis | Südpol
Sahara | Kamelkarawane
Himalaja | Mount Everest

## Wasser & Meer
Wellengang | Wellenbad
Grund | Meeresboden
Ozean | Atlantik
Karibik | Inselhüpfen
Windschutz | Strandmuschel
Düne | Sanddüne
Perle | Muschelsammlung
Koralle | Korallenriff
Nesseln | Quallenalarm
Hammerkopf | Hammerhai
Flipper | Delfinschwimmen
Gesang | Walgesang
Schwarm | Fischschwarm
Flossen | Taucherflosse
Schnorchel | Schnorcheln
Treten | Tretboot
Törn | Segeltörn
Ablegen | Anker lichten
Signal | Leuchtfeuer
Mole | Hafenmole
Pommesdieb | Möwenfutter
Unwetter | Sturmwarnung
Flut | Springflut
Schlick | Wattwanderung
Watt | Wattenmeer
Dublonen | Piratenschatz
Truhe | Schatztruhe
Wrack | Schiffswrack
Floß | Floßfahrt
Rettung | Rettungsring
Kraulen | Rückenschwimmen
Bademeister | Rettungsschwimmer
Frühaufsteher | Liegen reservieren
Schaufel | Sandeimer
Zinne | Burgzinne
Brandung | Surfwelle
Hein | Käpt'n Blaubär
Garn | Seemannsgarn
Navigation | Seekarte
Flaschenpost | Nachricht in der Flasche
Tiefsee | Tiefseefisch
U-Boot | Gelbes U-Boot
Kanal | Kanaldeckel
Bach | Bachlauf
Dorfteich | Ententeich
Pool | Poolparty
Fontäne | Springbrunnen
Wasserhahn | Tropfender Wasserhahn
Regenwasser | Regentonne
Wasserball | Wasserballspiel

## Bauernhof
Rinder | Kuhstall
Sau | Schweinestall
Scheren | Schafwolle
Bock | Ziegenbock
Koppel | Pferdekoppel
Sprosse | Hühnerleiter
Kikeriki | Hahnenschrei
Gans | Martinsgans
Küken | Entenküken
Knick | Eselsohr
Mäusejäger | Hofkatze
Wachhund | Hofhund
Profil | Traktorreifen
Mähdrescher | Ernte
Heu | Heuballen
Heuernte | Strohballen
Mist | Misthaufen
Stallbursche | Stallgeruch
Heuschober | Scheunentor
Weide | Kuhweide
Elektrozaun | Weidezaun
Korn | Kornkammer
Weizen | Weizenfeld
Labyrinth | Maislabyrinth
Ackerfurche | Kartoffelacker
Rübe | Zuckerrübe
Melken | Melkmaschine
Eier | Eierkarton
Stampfen | Butterfass
Laib | Käserei
Futter | Futtertrog
Trog | Wassertrog
Bimmeln | Kuhglockengeläut
Alm | Almabtrieb
Hirte | Schäferhund
Hof | Hofeinfahrt
Bäuerin | Landfrau
Mistgabel | Stallarbeit
Vogelscheuche | Krähe
Sense | Sensenmann
Pflug | Pflügen
Acker | Ackerbau
Saat | Aussaat
Ernte | Erntedankfest
Streuobst | Obstwiese
Wabe | Imker
Kalb | Kälbchen
Ferkel | Ferkelchen
Lamm | Osterlamm
Fohlen | Fohlenweide

## Küche & Kochen
Herd | Herdplatte
Umluft | Backofen
Dampfdruck | Schnellkochtopf
Hochwerfen | Pfannkuchen wenden
Wellenschliff | Brotmesser
Hackbrett | Schneidebrett
Rührlöffel | Kochlöffel
Schneebesen | Eischnee
Sieb | Nudelsieb
Reibe | Käsereibe
Schüssel | Salatschüssel
Mixer | Pürierstab
Briefgewicht | Briefwaage
Rezept | Kochbuchrezept
Kochen | Kochshow
Backen | Backmischung
Jus | Bratensoße
Wenden | Grillzange
Rühren | Rührteig
Kneten | Hefeteig
Schälen | Kartoffelschäler
Schneiden | Zwiebelschneiden
Würzen | Gewürzregal
Streuer | Salzstreuer
Pfeffer | Pfeffermühle
Würfelzucker | Zuckerdose
Bestäubt | Mehlstaub
Hefe | Hefezopf
Teig | Teigrolle
Binder | Soßenbinder
Schöpfkelle | Suppenkelle
Deckel | Topfdeckel
Umbinden | Latzschürze
Hitzeschutz | Ofenhandschuh
Tiefkühlen | Gefrierfach
Vorrat | Vorratskammer
Dose | Dosenöffner
Kronkorken | Flaschenöffner
Korken | Korkenzieher
Spülen | Abwasch
Geschirr | Geschirrtuch
Besteck | Besteckkasten
Millionär | Tellerwäscher
Tablett | Frühstückstablett
Hobby | Hobbykoch
Brand | Angebrannt
Rauch | Rauchmelder
Timer | Küchenwecker
Abendessen | Candlelight-Dinner
Buffet | Kaltes Buffet

## Gefühle & Eigenschaften
Glück | Glückspilz
Unglück | Pechvogel
Freude | Vorfreude
Angst | Angsthase
Wut | Wutanfall
Trennung | Liebeskummer
Neid | Neidhammel
Mut | Übermut
Stolz | Stolz wie Oskar
Trauer | Trauerkloß
Langeweile | Gähnen vor Langeweile
Hunger | Heißhunger
Durst | Durstlöscher
Müde | Müdigkeit
Faul | Faulenzen
Schlau | Schlaumeier
Dumm | Dummkopf
Frech | Frechdachs
Lieb | Liebling
Stark | Kraftprotz
Schwach | Schwächling
Schnell | Blitzschnell
Langsam | Schneckenpost
Laut | Lautstärke
Leise | Mucksmäuschenstill
Reich | Reichtum
Bettler | Armut
Alt | Altersheim
Jung | Jungbrunnen
Groß | Größenwahn
Klein | Kleinigkeit
Dick | Dickkopf
Dünn | Dünnbrettbohrer
